Ruang 1,21:38:36,-72,-90,-88,-120,-88
Ruang 1,21:38:36,-74,-90,-88,-120,-88
Ruang 1,21:38:37,-73,-90,-87,-120,-94
Ruang 1,21:38:38,-71,-91,-86,-120,-94
Ruang 1,21:38:39,-71,-120,-120,-120,-120
Ruang 1,21:38:41,-59,-120,-99,-120,-120
Ruang 1,21:38:41,-73,-95,-90,-95,-120
Ruang 1,21:38:41,-73,-84,-90,-95,-120
Ruang 1,21:38:43,-76,-92,-89,-120,-94
Ruang 1,21:38:44,-76,-89,-120,-120,-95
Ruang 1,21:38:45,-75,-82,-88,-120,-120
Ruang 1,21:38:46,-84,-120,-86,-120,-120
Ruang 1,21:38:47,-92,-90,-120,-120,-120
Ruang 1,21:38:49,-97,-88,-120,-120,-120
Ruang 1,21:38:50,-120,-93,-91,-120,-120
Ruang 1,21:38:51,-91,-91,-120,-120,-120
Ruang 1,21:38:52,-120,-84,-120,-120,-120
Ruang 1,21:38:53,-91,-120,-120,-120,-120
Ruang 1,21:38:55,-95,-90,-89,-120,-94
Ruang 1,21:38:56,-120,-96,-91,-92,-91
Ruang 1,21:38:56,-120,-96,-94,-92,-91
Ruang 1,21:38:56,-99,-90,-88,-92,-120
Ruang 1,21:38:56,-99,-90,-88,-92,-120
Ruang 1,21:38:57,-89,-92,-85,-96,-120
Ruang 1,21:38:58,-120,-89,-92,-94,-120
Ruang 1,21:39:00,-87,-120,-87,-120,-120
Ruang 1,21:39:01,-84,-91,-120,-120,-120
Ruang 1,21:39:02,-80,-95,-86,-120,-120
Ruang 1,21:39:03,-83,-94,-120,-120,-120
Ruang 1,21:39:04,-85,-82,-90,-97,-93
Ruang 1,21:39:05,-87,-79,-89,-94,-94
Ruang 1,21:39:06,-90,-81,-85,-120,-91
Ruang 1,21:39:07,-89,-77,-89,-93,-95
Ruang 1,21:39:07,-89,-82,-89,-93,-95
Ruang 1,21:39:08,-90,-81,-89,-120,-120
Ruang 1,21:39:09,-120,-88,-120,-91,-120
Ruang 1,21:39:10,-88,-83,-120,-120,-97
Ruang 1,21:39:11,-91,-93,-120,-95,-120
Ruang 1,21:39:12,-86,-80,-87,-120,-120
Ruang 1,21:39:13,-120,-83,-79,-120,-96
Ruang 1,21:39:14,-87,-89,-120,-120,-120
Ruang 1,21:39:15,-89,-90,-120,-120,-120
Ruang 1,21:39:17,-95,-84,-120,-120,-120
Ruang 1,21:39:18,-92,-92,-89,-120,-95
Ruang 1,21:39:19,-94,-90,-92,-120,-120
Ruang 1,21:39:20,-92,-90,-120,-120,-120
Ruang 1,21:39:22,-120,-94,-120,-120,-120
Ruang 1,21:39:23,-120,-96,-88,-120,-120
Ruang 1,21:39:24,-120,-120,-89,-120,-120
Ruang 1,21:39:25,-120,-85,-89,-120,-120
Ruang 1,21:39:26,-92,-85,-120,-120,-120
Ruang 1,21:39:27,-92,-89,-88,-120,-120
Ruang 1,21:39:28,-92,-87,-91,-120,-120
Ruang 1,21:39:30,-97,-89,-91,-120,-120
Ruang 1,21:39:31,-120,-85,-120,-120,-120
Ruang 1,21:39:31,-120,-89,-120,-120,-120
Ruang 1,21:39:32,-82,-120,-120,-120,-120
Ruang 1,21:39:33,-89,-120,-120,-120,-120
Ruang 1,21:39:34,-95,-120,-120,-120,-120
Ruang 1,21:39:35,-84,-120,-120,-120,-120
Ruang 1,21:39:37,-87,-120,-120,-120,-120
Ruang 1,21:39:38,-87,-120,-120,-120,-120
Ruang 1,21:39:39,-87,-95,-120,-120,-120
Ruang 1,21:39:40,-93,-89,-92,-120,-120
Ruang 1,21:39:41,-88,-93,-120,-120,-120
Ruang 1,21:39:42,-120,-89,-90,-120,-120
Ruang 1,21:39:43,-90,-84,-87,-120,-120
Ruang 1,21:39:45,-120,-92,-120,-120,-120
Ruang 1,21:39:48,-120,-120,-87,-120,-120
Ruang 1,21:39:49,-120,-91,-120,-120,-120
Ruang 1,21:39:50,-120,-92,-120,-120,-120
Ruang 1,21:39:51,-97,-92,-89,-98,-120
Ruang 1,21:39:51,-97,-92,-88,-98,-120
Ruang 1,21:39:52,-94,-89,-91,-98,-120
Ruang 1,21:39:53,-89,-92,-89,-120,-120
Ruang 1,21:39:54,-84,-85,-97,-120,-96
Ruang 1,21:39:55,-89,-85,-88,-120,-120
Ruang 1,21:39:56,-120,-88,-87,-120,-120
Ruang 1,21:39:57,-76,-88,-120,-120,-92
Ruang 1,21:39:58,-83,-94,-120,-120,-120
