Ruang 1,10:17:26,-95,-120,-120
Ruang 1,10:17:27,-95,-120,-120
Ruang 1,10:17:28,-93,-120,-120
Ruang 1,10:17:29,-94,-87,-120
Ruang 1,10:17:31,-91,-93,-120
Ruang 1,10:17:32,-90,-97,-120
Ruang 1,10:17:33,-92,-120,-120
Ruang 1,10:17:34,-96,-120,-120
Ruang 1,10:17:35,-91,-120,-120
Ruang 1,10:17:36,-92,-120,-120
Ruang 1,10:17:38,-86,-96,-120
Ruang 1,10:17:39,-86,-89,-120
Ruang 1,10:17:39,-89,-93,-97
Ruang 1,10:17:40,-88,-91,-120
Ruang 1,10:17:41,-83,-95,-120
Ruang 1,10:17:42,-92,-93,-120
Ruang 1,10:17:43,-86,-93,-120
Ruang 1,10:17:45,-79,-91,-120
Ruang 1,10:17:46,-85,-94,-120
Ruang 1,10:17:46,-90,-94,-120
Ruang 1,10:17:47,-84,-90,-120
Ruang 1,10:17:48,-81,-92,-120
Ruang 1,10:17:50,-93,-91,-120
Ruang 1,10:17:51,-86,-88,-120
Ruang 1,10:17:51,-91,-101,-90
Ruang 1,10:17:52,-74,-92,-91
Ruang 1,10:17:53,-72,-120,-120
Ruang 1,10:17:54,-84,-120,-120
Ruang 1,10:17:55,-73,-93,-120
Ruang 1,10:17:57,-87,-92,-120
Ruang 1,10:17:58,-87,-96,-120
Ruang 1,10:17:59,-89,-93,-120
Ruang 1,10:18:00,-88,-88,-120
Ruang 1,10:18:02,-95,-120,-120
Ruang 1,10:18:02,-93,-120,-120
Ruang 1,10:18:04,-92,-120,-120
Ruang 1,10:18:07,-94,-120,-120
Ruang 1,10:18:08,-94,-120,-120
Ruang 1,10:18:09,-93,-120,-120
Ruang 1,10:18:10,-87,-120,-120
Ruang 1,10:18:11,-94,-96,-120
Ruang 1,10:18:12,-91,-95,-120
Ruang 1,10:18:13,-92,-90,-120
Ruang 1,10:18:14,-91,-120,-120
Ruang 1,10:18:15,-87,-120,-120
Ruang 1,10:18:16,-92,-120,-120
Ruang 1,10:18:17,-90,-120,-120
Ruang 1,10:18:19,-94,-120,-120
Ruang 1,10:18:20,-87,-96,-120
Ruang 1,10:18:21,-89,-120,-120
Ruang 1,10:18:22,-92,-120,-120
Ruang 1,10:18:23,-88,-96,-120
Ruang 1,10:18:24,-90,-120,-120
Ruang 1,10:18:25,-89,-98,-120
Ruang 1,10:18:27,-91,-91,-120
Ruang 1,10:18:28,-91,-90,-120
Ruang 1,10:18:29,-92,-120,-120
Ruang 1,10:18:30,-87,-92,-120
Ruang 1,10:18:31,-86,-120,-120
Ruang 1,10:18:32,-93,-93,-120
Ruang 1,10:18:34,-88,-87,-120
Ruang 1,10:18:35,-96,-96,-120
Ruang 1,10:18:36,-91,-97,-120
Ruang 1,10:18:37,-89,-88,-120
Ruang 1,10:18:37,-87,-88,-120
Ruang 1,10:18:38,-69,-89,-120
Ruang 1,10:18:40,-72,-93,-120
Ruang 1,10:18:41,-73,-87,-120
Ruang 1,10:18:42,-83,-91,-120
Ruang 1,10:18:43,-82,-87,-120
Ruang 1,10:18:44,-80,-120,-120
Ruang 1,10:18:45,-85,-120,-120
Ruang 1,10:18:46,-88,-95,-120
Ruang 1,10:18:48,-89,-97,-120
Ruang 1,10:18:49,-90,-120,-120
Ruang 1,10:18:50,-88,-120,-120
Ruang 1,10:18:51,-85,-93,-120
Ruang 1,10:18:52,-90,-96,-120
Ruang 1,10:18:54,-81,-120,-120
Ruang 1,10:18:55,-80,-86,-120
